
  Apex Trust Bank — Web Server
  http://localhost:5005

 * Serving Flask app 'server'
 * Debug mode: on
[31m[1mWARNING: This is a development server. Do not use it in a production deployment. Use a production WSGI server instead.[0m
 * Running on http://127.0.0.1:5005
[33mPress CTRL+C to quit[0m
 * Restarting with stat
 * Debugger is active!
 * Debugger PIN: 124-350-404
127.0.0.1 - - [08/Mar/2026 15:47:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /static/style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /static/logo.png HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:47:49] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:00] "POST /api/logout HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:17] "POST /api/login HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:17] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:17] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:17] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:17] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:19] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:48:49] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:19] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:19] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:49] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:49] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "[36mGET / HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "[36mGET /static/logo.png HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "[36mGET /static/style.css HTTP/1.1[0m" 304 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/me HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/accounts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/alerts HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/accounts/1/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:49:56] "GET /api/accounts/2/transactions HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:50:26] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:50:26] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:50:56] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:50:56] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:51:26] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:51:26] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:51:56] "GET /api/notifications HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:51:56] "GET /api/notifications/unread-count HTTP/1.1" 200 -
127.0.0.1 - - [08/Mar/2026 15:52:02] "[33mGET /loans HTTP/1.1[0m" 404 -
127.0.0.1 - - [08/Mar/2026 15:52:02] "[33mGET /favicon.ico HTTP/1.1[0m" 404 -
